id,name,english,deutsch,idphoto,party,Use
BUY,Bouye,"Bouye was named after a delicious and very typical Senegalese drink made from the baboab fruit. Similarly, her mother Bissap was named after a drink made from hibiscous flowers.","Bouye wurde nach einem leckeren und typischen senegalesischen Getränk benannt, dass aus der Baobab-Frucht hergestellt wird. Seine Mutter Bissap nach einem Getränk aus der Hibiskusblüte.",BUY.IMG_4941.jpg,,yes
BYE,Biaye,Biaye was named after one of our dear Senegalese field assistants. One of Biaye's associated females was also named after the wife of the same field assistant. ,Biaye wurde nach einem unserer senegalesischen Feldassistenten benannt. Eine seiner assozierten Weibchen wurde auch nach der Frau desselben Feldassistenten bennant.,0,,no
CMP,Crumpet,Crumpet is a very beautiful female juvenile baboon who is the center of attention for adult males of her group.,"Crumpet ist ein sehr schönes weibliches Jungtier, das im Mittelpunkt der Aufmerksamkeit der erwachsenen Männchen ihrer Gruppe steht.",CMP.IMG_5240.jpg,9B,yes
CNL,Cannoli,"Due to an early life eye infection, Cannoli had her right eye permanently partially closed, giving her a pirate-like appearance.","Durch eine frühe Augeninfektion hat Cannoli ihr rechtes Auge teilweise geschlossen, was ihr ein piratenartiges Erscheinungsbild gibt.",CNL.IMG_2600.jpg,,yes
DIT,Dita,Dita is a juvenile male that loves to steal infant baboons from their mothers. He likes to hold the often-screaming infant until its mother manages to retrieve it - a seemingly stressful situation for mother and offspring.  ,Dita ist ein männliches Jungtier das gerne Säuglinge von ihren Müttern stiehlt. Er hält die oft schreienden Säuglinge solange bis die Mütter schlussendlich ihren Nachwuchs zurückerobern. Diese Situationen wirken oft sehr belastend für Mutter und Kind.,DIT.IMG_4375.jpg,6W,yes
EFF,Effie,Effie is a juvenile with the fluffiest fur of all of our baboons!,Effie ist das Jungtier mit dem flauschigsten Fell aller Paviane.,EFF.IMG_1839.jpg,,yes
KHL,Khal,"Khal is missing a part of his right ear lobe, making him particularly easy to identify by the researchers.","Khal fehlt ein Teil seines rechten Ohrläppchens, wodurch er für die Forscher leicht zu erkennen ist.",KHL.IMG_1266.jpg,5,yes
ORN,Orion,"When Orion was born, his older sister often interupted his attempts to suckle milk from their mother.","Als Orion geboren wurde, unterbrach seine ältere Schwester oft seine Versuche Milch zu trinken.",ORN.IMG_8613.jpg,,maybe
PIF,Piaf,Piaf is an immature female with the blondest fur of any other baboon of her party.,Piaf ist das Jungtier mit dem blondesten Fell aller Paviane ihrer Gruppe.,PIF.IMG_8838.jpg,,yes
PLR,Pilar,The birth of Pilar was the first and only baboon birth directly observed by our field researchers.,Die Geburt von Pilar war die erste und einzige Geburt die direkt von Feldforschern beobachtet wurde.,PLR.IMG_3011.jpg,6W,yes
QNN,Quinn,Quinn has very big and pointy ears,Quinn hat sehr große und spitze Ohren.,QNN.IMG_8292.jpg,,yes
SCK,Sockette,"Sockette is one of four sisters who were very well-habituated to the presence of human observers even from a young age, making them favourites to many researchers.",Sockette ist eines von vier Geschwistern die schon sehr jung gut an die Anwesenheit von menschlichen Beobachtern gewöhnt waren. Dies machte sie zum Liebling vieler Feldforscher.,SCK.IMG_8675.jpg,5,yes
TNK,Tanuki,Tanuki shared a very relaxed attitude towards the field researchers with her mother Taki.,Tanuki teilt mit ihrer Mutter Taki eine sehr entspannte Haltung gegenüber den Feldforschern.,TNK.IMG_8545.jpg,,yes
VDT,Vendetta,Vendetta has a very characteristic v-shaped tail. This specific shape is probably result of an injury. ,"Vendetta hat einen sehr characteristischen V-förmigen Schwanz, was wahrscheinlich von einer Verletzung herrührt.",VDT.IMG_8095.jpg,,yes
XLA,Xula,Xula has the longest and most beautiful tail of all of the juvenile baboons: it has an S-shape and she holds the end parallel to the ground,Xula hat den längsten und wahrscheinlich schönsten Schwanz aller Jungtiere. Der Schwanz hat eine S-Form und sie trägt den letzten Abschnitt parallel zum Boden.,XLA.IMG_3927.jpg,6W,yes
XNA,Xena,"Xena is an adult female who has been associated with her primary male Louis for more than three years. During this time, she has given birth to two infants.","Xena ist ein erwachsenes Weibchen, die seit mehr als drei Jahren mit ihrem Männchen Louis assoziert ist und in dieser Zeit zwei Kinder zur Welt gebracht hat.",XNA.IMG_3311.jpg,,no
YSH,Yoshi,"Yoshi’s right pupil was, for a while, smaller than his left pupil.",Yoshis rechte Pupille war lange Zeit kleiner als seine linke Pupille.,YSH.IMG_3556.jpg,,yes
ZZU,Zazu,"Even as an immature male, Zazu already had the darkest fur of his party.",Zazu hatte schon als Jungtier das dunkleste Fell seiner Gruppe.,ZZU.IMG_3736.jpg,6I,yes
